frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M40443-10.tif:0811-3309,357000,195.510,0,255,3071,436,476,750,846.284,537.108,90,0.746,1.576,0.635,1.000
2,M40443-10.tif:0717-2752,562420,195.236,0,255,2447,256,610,922,1040.366,688.311,90,0.753,1.511,0.662,1.000
3,M40443-10.tif:0735-1985,672980,191.657,0,255,1600,298,770,874,986.203,868.852,90,0.782,1.135,0.881,1.000
4,M40443-10.tif:0648-1049,885080,171.501,0,255,504,242,1090,812,1229.933,916.244,0,0.769,1.342,0.745,1.000
5,M40443-10.tif:1259-1423,298404,194.302,99,255,1180,952,486,614,692.825,548.392,90,0.775,1.263,0.792,1.000
6,M40443-10.tif:1948-0954,2074224,156.969,0,255,322,1128,1264,1641,1851.670,1426.271,90,0.772,1.298,0.770,1.000
7,M40443-10.tif:2107-2117,999984,189.611,0,255,1619,1605,996,1004,1132.893,1123.866,90,0.785,1.008,0.992,1.000
8,M40443-10.tif:1383-2031,360960,188.632,69,255,1655,1143,752,480,848.541,541.622,0,0.747,1.567,0.638,1.000
9,M40443-10.tif:1512-2886,511500,180.138,0,255,2511,1171,750,682,846.284,769.555,0,0.784,1.100,0.909,1.000
10,M40443-10.tif:2224-3089,386280,201.243,34,255,2799,1891,580,666,751.501,654.460,90,0.782,1.148,0.871,1.000
